Unit,Tenant,Type,Bedrooms,Bathrooms,Sq Ft,Current Rent,Market Rent,Lease Start,Lease End
101,Johnson A.,1BR/1BA,1,1,650,1250,1300,2024-01-01,2024-12-31
102,Smith B.,1BR/1BA,1,1,650,1275,1300,2023-11-01,2024-10-31
103,Davis C.,2BR/1BA,2,1,875,1600,1650,2024-03-01,2025-02-28
104,Wilson D.,2BR/2BA,2,2,950,1750,1800,2024-02-01,2025-01-31
105,Vacant,,1,1,650,0,1300,,,
106,Brown E.,1BR/1BA,1,1,650,1250,1300,2023-09-01,2024-08-31
107,Taylor F.,2BR/2BA,2,2,950,1725,1800,2024-04-01,2025-03-31
108,Anderson G.,1BR/1BA,1,1,650,1275,1300,2024-01-15,2025-01-14
201,Martin H.,2BR/1BA,2,1,875,1600,1650,2023-12-01,2024-11-30
202,Garcia I.,2BR/2BA,2,2,950,1800,1800,2024-05-01,2025-04-30
203,Thompson J.,1BR/1BA,1,1,650,1250,1300,2024-02-01,2025-01-31
204,Vacant,,2,1,875,0,1650,,,
205,White K.,2BR/2BA,2,2,950,1750,1800,2024-06-01,2025-05-31
206,Harris L.,1BR/1BA,1,1,650,1275,1300,2024-03-15,2025-03-14
207,Clark M.,2BR/1BA,2,1,875,1575,1650,2023-10-01,2024-09-30
208,Lewis N.,1BR/1BA,1,1,650,1250,1300,2024-01-01,2024-12-31
